sequence,frame_range,file_path,final_event_type,confidence,window_count,total_weight,sequence_event_type,EMPTY_D_TH,V_OK,score_sum,sequence_event_feats,"weights(a,b,c)"
00,000000_000300,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000000_000300\00_f0000_0300\final_event_scorevote.txt,Normal,0.898,28.0,840.0,Normal,0.03,6.0,"{'Empty': 0.0, 'Normal': 754.0165294578765, 'Congestion': 85.98347054212354}","{'density_mean': 0.5421880483627319, 'speed_mean': 7.606082916259766, 'occupancy_mean': 0.007255250588059425, 'ego_motion': 0.13153846561908722, 'static_dwell_norm': 0.75791996717453, 'static_change_focus': 0.13153846561908722, 'occlusion_score': 0.0, 'congestion_score': 0.0, 'speed_samples_mean': 2.1068334579467773, 'speed_reliable_ratio': 0.9595765158806545, 'ego_speed_mean': None, 'speed_ratio': None, 'speed_std_mean': None, 'occlusion_like': 0.0, 'empty_like': 0.0}","0.5,0.3,0.2"
00,000000_000300,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000000_000300\final_event_scorevote.txt,Normal,0.803,28.0,840.0,Normal,0.03,6.0,"{'Empty': 0.0, 'Normal': 674.7165302059148, 'Congestion': 165.28346979408525}","{'density_mean': 1.0, 'speed_mean': 7.606082916259766, 'occupancy_mean': 0.007255250588059425, 'ego_motion': 0.13153846561908722, 'static_dwell_norm': 0.75791996717453, 'static_change_focus': 0.13153846561908722, 'occlusion_score': 0.0, 'congestion_score': 1.0, 'speed_samples_mean': 2.1068334579467773, 'speed_reliable_ratio': 0.9595765158806545, 'ego_speed_mean': None, 'speed_ratio': None, 'speed_std_mean': None, 'occlusion_like': 0.0, 'empty_like': 0.0}","0.5,0.3,0.2"
00,000100_000400,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000100_000400\00_f0100_0400\final_event_scorevote.txt,Normal,0.916,28.0,840.0,Normal,0.03,6.0,"{'Empty': 0.0, 'Normal': 769.4415049692616, 'Congestion': 70.55849503073841}","{'density_mean': 0.48995983600616455, 'speed_mean': 7.111606597900391, 'occupancy_mean': 0.006553546525537968, 'ego_motion': 0.11898528039455414, 'static_dwell_norm': 0.7667057514190674, 'static_change_focus': 0.11898528039455414, 'occlusion_score': 0.0, 'congestion_score': 0.0, 'speed_samples_mean': 1.9047096967697144, 'speed_reliable_ratio': 0.963855421686747, 'ego_speed_mean': None, 'speed_ratio': None, 'speed_std_mean': None, 'occlusion_like': 0.0, 'empty_like': 0.0}","0.5,0.3,0.2"
00,000200_000500,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000200_000500\00_f0200_0500\final_event_scorevote.txt,Normal,0.909,28.0,840.0,Normal,0.03,6.0,"{'Empty': 0.0, 'Normal': 763.903284673579, 'Congestion': 76.09671532642096}","{'density_mean': 0.5144144296646118, 'speed_mean': 7.516615867614746, 'occupancy_mean': 0.007748944219201803, 'ego_motion': 0.12774622440338135, 'static_dwell_norm': 0.7408024072647095, 'static_change_focus': 0.12774622440338135, 'occlusion_score': 0.0, 'congestion_score': 0.0, 'speed_samples_mean': 2.2594594955444336, 'speed_reliable_ratio': 0.9581081081081081, 'ego_speed_mean': None, 'speed_ratio': None, 'speed_std_mean': None, 'occlusion_like': 0.0, 'empty_like': 0.0}","0.5,0.3,0.2"
00,000300_000600,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000300_000600\00_f0300_0600\final_event_scorevote.txt,Normal,0.844,28.0,840.0,Unknown,0.03,6.0,"{'Empty': 0.0, 'Normal': 709.3675713445991, 'Congestion': 130.63242865540087}","{'density_mean': 0.4757835268974304, 'speed_mean': 5.980890274047852, 'occupancy_mean': 0.007790981326252222, 'ego_motion': 0.10399933159351349, 'static_dwell_norm': 0.7050632834434509, 'static_change_focus': 0.10399933159351349, 'occlusion_score': 0.0, 'congestion_score': 0.0, 'speed_samples_mean': 2.270299196243286, 'speed_reliable_ratio': 0.9551282051282052, 'ego_speed_mean': None, 'speed_ratio': None, 'speed_std_mean': None, 'occlusion_like': 0.0, 'empty_like': 0.0}","0.5,0.3,0.2"
00,000400_000700,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000400_000700\00_f0400_0700\final_event_scorevote.txt,Normal,0.819,28.0,840.0,Normal,0.03,6.0,"{'Empty': 0.0, 'Normal': 688.0116077056155, 'Congestion': 151.98839229438454}","{'density_mean': 0.5307376980781555, 'speed_mean': 7.629596710205078, 'occupancy_mean': 0.009857850149273872, 'ego_motion': 0.11789759248495102, 'static_dwell_norm': 0.6717687249183655, 'static_change_focus': 0.11789759248495102, 'occlusion_score': 0.0, 'congestion_score': 0.0, 'speed_samples_mean': 2.865778684616089, 'speed_reliable_ratio': 0.9579918032786885, 'ego_speed_mean': None, 'speed_ratio': None, 'speed_std_mean': None, 'occlusion_like': 0.0, 'empty_like': 0.0}","0.5,0.3,0.2"
00,000500_000800,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000500_000800\00_f0500_0800\final_event_scorevote.txt,Normal,0.822,28.0,840.0,Normal,0.03,6.0,"{'Empty': 0.0, 'Normal': 690.2149674799293, 'Congestion': 149.78503252007067}","{'density_mean': 0.5286645889282227, 'speed_mean': 7.534627914428711, 'occupancy_mean': 0.009874396957457066, 'ego_motion': 0.12488286942243576, 'static_dwell_norm': 0.6212278604507446, 'static_change_focus': 0.12488286942243576, 'occlusion_score': 0.0, 'congestion_score': 0.0, 'speed_samples_mean': 2.866117477416992, 'speed_reliable_ratio': 0.9536560247167868, 'ego_speed_mean': None, 'speed_ratio': None, 'speed_std_mean': None, 'occlusion_like': 0.0, 'empty_like': 0.0}","0.5,0.3,0.2"
00,000600_000900,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000600_000900\00_f0600_0900\final_event_scorevote.txt,Normal,0.906,28.0,840.0,Normal,0.03,6.0,"{'Empty': 0.0, 'Normal': 760.8281670450233, 'Congestion': 79.17183295497671}","{'density_mean': 0.5760473012924194, 'speed_mean': 8.60611343383789, 'occupancy_mean': 0.009894158691167831, 'ego_motion': 0.13768674433231354, 'static_dwell_norm': 0.7599918842315674, 'static_change_focus': 0.13768674433231354, 'occlusion_score': 0.0, 'congestion_score': 0.0, 'speed_samples_mean': 2.8606557846069336, 'speed_reliable_ratio': 0.9453551912568307, 'ego_speed_mean': None, 'speed_ratio': None, 'speed_std_mean': None, 'occlusion_like': 0.0, 'empty_like': 0.0}","0.5,0.3,0.2"
00,000700_001000,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000700_001000\00_f0700_1000\final_event_scorevote.txt,Normal,0.933,28.0,840.0,Normal,0.03,6.0,"{'Empty': 0.0, 'Normal': 783.6482219165191, 'Congestion': 56.351778083480895}","{'density_mean': 0.4875411093235016, 'speed_mean': 7.519115924835205, 'occupancy_mean': 0.006691375747323036, 'ego_motion': 0.12121986597776413, 'static_dwell_norm': 0.7381581664085388, 'static_change_focus': 0.12121986597776413, 'occlusion_score': 0.0, 'congestion_score': 0.0, 'speed_samples_mean': 1.939351201057434, 'speed_reliable_ratio': 0.9590973201692524, 'ego_speed_mean': None, 'speed_ratio': None, 'speed_std_mean': None, 'occlusion_like': 0.0, 'empty_like': 0.0}","0.5,0.3,0.2"
00,000800_001100,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000800_001100\00_f0800_1100\final_event_scorevote.txt,Normal,0.932,28.0,840.0,Normal,0.03,6.0,"{'Empty': 0.0, 'Normal': 782.6180978945922, 'Congestion': 57.38190210540779}","{'density_mean': 0.5163690447807312, 'speed_mean': 8.570718765258789, 'occupancy_mean': 0.007776656188070774, 'ego_motion': 0.16851721704006195, 'static_dwell_norm': 0.8005178570747375, 'static_change_focus': 0.16851721704006195, 'occlusion_score': 0.0, 'congestion_score': 0.0, 'speed_samples_mean': 2.251488208770752, 'speed_reliable_ratio': 0.9494047619047619, 'ego_speed_mean': None, 'speed_ratio': None, 'speed_std_mean': None, 'occlusion_like': 0.0, 'empty_like': 0.0}","0.5,0.3,0.2"
