sequence,frame_range,event_file,input_state,scheduler,total_throughput_bps,avg_delay_sec,fairness,congestion_avg_throughput_bps,normal_avg_throughput_bps,empty_avg_throughput_bps,mean_active_users_per_slot,mean_requested_rb_per_slot,mean_allocated_rb_per_slot,mean_unserved_users_per_slot
00,000000_000300,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000000_000300\00_f0000_0300\final_event_scorevote.txt,Normal,RR,61468518.4483193,60.737114931545186,0.99924569580663,486203.3539895,516635.7380037351,527891.6882377758,120.0,2531.133333333333,12.0,108.0
00,000000_000300,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000000_000300\00_f0000_0300\final_event_scorevote.txt,Normal,MaxThroughput,44111660.50029741,91.38544090082145,0.48162109576518575,46018.11545917258,310502.1559259959,1043780.9759471996,120.0,2384.49,8.296666666666667,119.0
00,000000_000300,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000000_000300\00_f0000_0300\final_event_scorevote.txt,Normal,PF,61804256.651986495,60.333389082485326,0.9987993077426462,487047.46384812176,519464.81989648327,533158.9759836604,120.0,2527.9,12.0,108.29
00,000000_000300,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000000_000300\00_f0000_0300\final_event_scorevote.txt,Normal,Ours,62109457.33299565,59.972988499983856,0.5480485118331203,1422887.987162859,358463.40565496206,0.0,120.0,2591.53,12.0,108.0
00,000000_000300,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000000_000300\00_f0000_0300\final_event_scorevote.txt,Normal,OursPF,61869253.38086155,60.2166073294523,0.9995313214278876,526839.6156316485,516552.9569430719,496331.7757856875,120.0,2535.0666666666666,12.0,108.00666666666666
00,000000_000300,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000000_000300\final_event_scorevote.txt,Normal,RR,61772939.305297256,54.79887027113747,0.9992642360683387,484781.7694446414,516208.02087545954,529623.6903038304,120.0,2480.8933333333334,12.0,108.0
00,000000_000300,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000000_000300\final_event_scorevote.txt,Normal,MaxThroughput,45394016.77643563,81.42339436387999,0.48079376184674405,52130.01965442486,234179.89860422013,989264.2277181363,120.0,2284.5333333333333,8.54,119.0
00,000000_000300,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000000_000300\final_event_scorevote.txt,Normal,PF,62087375.846364304,54.45706513740776,0.999045540649048,494794.959561887,515496.2474036532,536968.3974494289,120.0,2476.39,12.0,108.31
00,000000_000300,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000000_000300\final_event_scorevote.txt,Normal,Ours,62461110.579012945,54.05104121324343,0.5560973582062224,1560863.8235658796,472716.1260314869,0.0,120.0,2562.096666666667,12.0,108.0
00,000000_000300,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000000_000300\final_event_scorevote.txt,Normal,OursPF,62193638.84101238,54.29473508789501,0.9995121989618991,533126.9473243029,520307.1675612776,503227.25932748686,120.0,2485.4166666666665,12.0,108.00333333333333
00,000100_000400,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000100_000400\00_f0100_0400\final_event_scorevote.txt,Normal,RR,61650330.537245184,57.170160960668,0.999163951150489,484887.1285884673,516674.5962234101,529351.2286542009,120.0,2492.9333333333334,12.0,108.0
00,000100_000400,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000100_000400\00_f0100_0400\final_event_scorevote.txt,Normal,MaxThroughput,44940877.53743954,85.56026010735516,0.47694145854412634,38876.86291205281,261341.9002895548,991406.5117943751,120.0,2342.12,8.42,119.0
00,000100_000400,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000100_000400\00_f0100_0400\final_event_scorevote.txt,Normal,PF,61947147.902305335,56.83610636922858,0.9989883032534037,492675.396118706,517075.4233069634,533495.3303638888,120.0,2490.0866666666666,12.0,108.38666666666667
00,000100_000400,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000100_000400\00_f0100_0400\final_event_scorevote.txt,Normal,Ours,62238927.8584158,56.507342921786,0.5371817800428642,1500490.1967834579,415251.8071076106,0.0,120.0,2573.4866666666667,12.0,108.0
00,000100_000400,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000100_000400\00_f0100_0400\final_event_scorevote.txt,Normal,OursPF,62016842.43881765,56.708858428555196,0.9995006909709688,532615.5450392062,517934.3192973425,500191.05459963856,120.0,2498.7566666666667,12.0,108.00333333333333
00,000200_000500,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000200_000500\00_f0200_0500\final_event_scorevote.txt,Normal,RR,61491583.27219495,60.76780404920798,0.9991979712055085,486844.3151694392,516354.0025434198,530398.4841925824,120.0,2528.92,12.0,108.0
00,000200_000500,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000200_000500\00_f0200_0500\final_event_scorevote.txt,Normal,MaxThroughput,45702729.27729237,88.11907816339074,0.5295779480660862,46587.56294408719,322064.8924059888,1055847.8095176339,120.0,2363.2433333333333,8.57,119.0
00,000200_000500,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000200_000500\00_f0200_0500\final_event_scorevote.txt,Normal,PF,61821353.33309412,60.37506894290019,0.9990621241003944,493001.4040840495,518096.2922630558,532684.2115263488,120.0,2526.51,12.0,108.38333333333334
00,000200_000500,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000200_000500\00_f0200_0500\final_event_scorevote.txt,Normal,Ours,62029294.677116364,60.13512439081013,0.5372963314810887,1418840.8252704018,349450.97428100434,0.0,120.0,2593.11,12.0,108.0
00,000200_000500,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000200_000500\00_f0200_0500\final_event_scorevote.txt,Normal,OursPF,61856877.72333842,60.291113099159716,0.9995034353964122,528980.0229712002,515479.8086799753,497679.5625989631,120.0,2534.366666666667,12.0,108.00333333333333
00,000300_000600,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000300_000600\00_f0300_0600\final_event_scorevote.txt,Normal,RR,61406456.55072199,62.123079593698435,0.9992070378797799,485968.9152846679,516343.12043254916,529132.9471521198,120.0,2544.1233333333334,12.0,108.0
00,000300_000600,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000300_000600\00_f0300_0600\final_event_scorevote.txt,Normal,MaxThroughput,45413924.50648829,90.14816918407249,0.5289070138940093,42898.43349594223,354370.4652221291,1021637.3072838461,120.0,2400.133333333333,8.5,119.0
00,000300_000600,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000300_000600\00_f0300_0600\final_event_scorevote.txt,Normal,PF,61787605.52860227,61.65821827078573,0.9992091051613275,496694.4084816307,516417.48649061064,535828.992737704,120.0,2541.61,12.0,108.33333333333333
00,000300_000600,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000300_000600\00_f0300_0600\final_event_scorevote.txt,Normal,Ours,62104731.1310777,61.28508760501476,0.5481381572791599,1405222.5414549273,341445.15942663944,0.0,120.0,2600.68,12.0,108.0
00,000300_000600,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000300_000600\00_f0300_0600\final_event_scorevote.txt,Normal,OursPF,61832578.98701267,61.565360053908506,0.9995505372581754,527099.2320898339,515072.8736768795,497771.32276833325,120.0,2548.1033333333335,12.0,108.0
00,000400_000700,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000400_000700\00_f0400_0700\final_event_scorevote.txt,Normal,RR,61578911.916345745,57.64890609475941,0.9991089675560811,484786.96798625943,516044.7100778109,529840.0721190748,120.0,2487.153333333333,12.0,108.0
00,000400_000700,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000400_000700\00_f0400_0700\final_event_scorevote.txt,Normal,MaxThroughput,43824174.9398613,88.44467400825395,0.48438755414791423,48436.848311581365,257027.73731081354,915488.3635902957,120.0,2317.67,8.25,119.0
00,000400_000700,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000400_000700\00_f0400_0700\final_event_scorevote.txt,Normal,PF,61892198.39344431,57.30820936212182,0.9988532034969783,492656.4625763955,516627.645318873,533228.3178468924,120.0,2485.18,12.0,108.35
00,000400_000700,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000400_000700\00_f0400_0700\final_event_scorevote.txt,Normal,Ours,62049991.925331846,57.12318427622153,0.5230724088245897,1473882.6879616936,402152.7157458985,0.0,120.0,2573.233333333333,12.0,108.0
00,000400_000700,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000400_000700\00_f0400_0700\final_event_scorevote.txt,Normal,OursPF,62041579.842428714,57.07197393403841,0.9994827280242361,532911.2423577419,517654.43693067646,501807.80307604815,120.0,2493.0,12.0,108.0
00,000500_000800,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000500_000800\00_f0500_0800\final_event_scorevote.txt,Normal,RR,61567097.39794923,59.16293587987335,0.9991668602576159,485944.2253356663,516125.60351834627,530952.7250614966,120.0,2510.0333333333333,12.0,108.0
00,000500_000800,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000500_000800\00_f0500_0800\final_event_scorevote.txt,Normal,MaxThroughput,44683574.80751504,88.61666058923893,0.499947615106644,15075.516423299832,291450.47282110405,1021729.6576452884,120.0,2356.7633333333333,8.41,119.0
00,000500_000800,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000500_000800\00_f0500_0800\final_event_scorevote.txt,Normal,PF,61872295.240407065,58.796842697760795,0.9990142903438488,493315.003179656,517090.46427087515,533830.243043607,120.0,2507.2766666666666,12.0,108.32666666666667
00,000500_000800,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000500_000800\00_f0500_0800\final_event_scorevote.txt,Normal,Ours,62165330.37098104,58.4595187193892,0.5365379439964905,1460868.048826725,380871.5366395515,0.0,120.0,2582.5666666666666,12.0,108.0
00,000500_000800,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000500_000800\00_f0500_0800\final_event_scorevote.txt,Normal,OursPF,61935375.78799098,58.678349601005735,0.999453241351718,530389.4665288565,517082.4247925903,497965.2817446819,120.0,2515.116666666667,12.0,108.00666666666666
00,000600_000900,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000600_000900\00_f0600_0900\final_event_scorevote.txt,Normal,RR,61486067.242449,59.82462707603382,0.9991003712809972,485273.0322808141,516084.60189324827,530267.3956136858,120.0,2510.5833333333335,12.0,108.0
00,000600_000900,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000600_000900\00_f0600_0900\final_event_scorevote.txt,Normal,MaxThroughput,43388198.239416584,91.42829368013994,0.4624799452734482,35401.095984280444,254825.56842293363,1050249.1266677545,120.0,2307.6766666666667,8.176666666666666,119.0
00,000600_000900,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000600_000900\00_f0600_0900\final_event_scorevote.txt,Normal,PF,61813484.63125679,59.44322823363501,0.9988171324462375,489910.8972500593,518635.65800218686,531475.8619064286,120.0,2508.6033333333335,12.0,108.33
00,000600_000900,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000600_000900\00_f0600_0900\final_event_scorevote.txt,Normal,Ours,62032740.741537504,59.181806675462695,0.5254704246524498,1434640.035780597,363426.942319758,0.0,120.0,2585.4533333333334,12.0,108.0
00,000600_000900,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000600_000900\00_f0600_0900\final_event_scorevote.txt,Normal,OursPF,61903644.23381897,59.27704966047745,0.9995422723754653,528894.1614034608,516791.4568801517,498795.8827548491,120.0,2515.8533333333335,12.0,108.0
00,000700_001000,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000700_001000\00_f0700_1000\final_event_scorevote.txt,Normal,RR,61374562.51923076,61.57359074688292,0.9990263161181765,485755.97089473135,516071.355131079,530208.139755225,120.0,2512.9533333333334,12.0,108.0
00,000700_001000,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000700_001000\00_f0700_1000\final_event_scorevote.txt,Normal,MaxThroughput,46999691.19716725,86.16481672026659,0.5138217196174418,45376.72121267276,330672.61077387055,1008609.9456250672,120.0,2363.4733333333334,8.763333333333334,119.0
00,000700_001000,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000700_001000\00_f0700_1000\final_event_scorevote.txt,Normal,PF,61772173.53424625,61.1057031157218,0.9988470785440164,491963.32953898696,518684.9322527302,531941.8080186942,120.0,2510.79,12.0,108.37333333333333
00,000700_001000,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000700_001000\00_f0700_1000\final_event_scorevote.txt,Normal,Ours,61881407.4724189,60.968502869685906,0.5145537930048381,1374937.895596634,323650.12500171346,0.0,120.0,2590.6,12.0,108.0
00,000700_001000,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000700_001000\00_f0700_1000\final_event_scorevote.txt,Normal,OursPF,61832754.97812536,60.977811279704405,0.9993787835228785,529308.8088946799,515602.01221508125,496602.725632788,120.0,2519.4266666666667,12.0,108.00666666666666
00,000800_001100,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000800_001100\00_f0800_1100\final_event_scorevote.txt,Normal,RR,61503133.400983036,59.3288990197107,0.9991007147813962,485771.7791307503,515829.8031201838,530030.108172056,120.0,2503.1833333333334,12.0,108.0
00,000800_001100,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000800_001100\00_f0800_1100\final_event_scorevote.txt,Normal,MaxThroughput,44421270.128636815,88.837988148484,0.46135527507984475,26302.576735433922,274664.2012033859,981488.4650405581,120.0,2322.6266666666666,8.366666666666667,119.0
00,000800_001100,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000800_001100\00_f0800_1100\final_event_scorevote.txt,Normal,PF,61825956.96834373,58.957585380034025,0.9990110950155292,492093.33865880594,518431.67220289784,529336.2579068292,120.0,2501.5666666666666,12.0,108.32
00,000800_001100,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000800_001100\00_f0800_1100\final_event_scorevote.txt,Normal,Ours,61992271.46592796,58.76108657858203,0.5211078599286116,1438404.7463334736,371887.89725130185,0.0,120.0,2582.733333333333,12.0,108.0
00,000800_001100,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000800_001100\00_f0800_1100\final_event_scorevote.txt,Normal,OursPF,61934303.064808995,58.77611708417658,0.9994666802240949,530133.6734780404,517102.59931269276,499351.17103877926,120.0,2509.05,12.0,108.0
00,000900_001200,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000900_001200\00_f0900_1200\final_event_scorevote.txt,Normal,RR,61289315.603454284,62.32391747236069,0.9991099820674524,484960.3028496333,515631.78630291164,529055.747433101,120.0,2534.3,12.0,108.0
