input_state,scheduler,count,mean_total_throughput_bps,mean_avg_delay_sec,mean_fairness,mean_congestion_avg_throughput_bps,mean_normal_avg_throughput_bps,mean_empty_avg_throughput_bps,mean_active_users_per_slot,mean_requested_rb_per_slot,mean_allocated_rb_per_slot,mean_unserved_users_per_slot
Empty,MaxThroughput,31,53565800.379603215,46.31998207289596,0.6254651191994276,30441.059507452253,134664.4420600249,605176.0505807571,120.0,2118.1766666666667,9.890752688172041,119.0
Empty,Ours,31,62996947.57421978,35.66502408275603,0.48949786769670334,1864525.4961677818,900254.2753211567,204263.936420395,120.0,2378.528279569892,12.0,108.0
Empty,OursPF,31,62943533.82806947,35.710305857634616,0.999712538514235,510588.03188633965,519861.2487652364,528107.9546708959,120.0,2213.9416129032256,12.0,108.00559139784946
Empty,PF,31,62832375.36533833,35.837002846404864,0.9991411009408597,492821.48544931004,514250.2529685392,531214.6987143245,120.0,2211.1883870967736,12.0,108.19129032258066
Empty,RR,31,62687908.50765842,35.94200198722598,0.9992416897130341,486117.51204120775,516308.03455639497,529864.1699223396,120.0,2214.0444086021503,12.0,108.0
Normal,MaxThroughput,187,44813514.04234722,87.59395409958114,0.4843687561504579,46241.786534710554,272681.84870014346,1000991.9523739336,119.99998217468806,2330.378520499108,8.419910873440287,118.99998217468806
Normal,Ours,187,62090730.5830922,58.15669969359739,0.5316217347673622,1455132.3226525525,384215.0001346899,0.0,120.0,2579.66458110517,12.0,108.00001782531194
Normal,OursPF,187,61969880.73403262,58.24522881599832,0.9994887092397979,530581.6356672231,517310.8349181444,499673.19406042254,120.0,2507.968146167559,12.0,108.00160427807499
Normal,PF,187,61871848.34335354,58.40875839026458,0.9990023203309428,492925.2827748024,517437.6623578289,532439.6348139117,120.0,2500.189215686274,11.999982174688059,108.33871657754014
Normal,RR,187,61558487.86185221,58.770999418899294,0.9991633426466853,485961.41628751764,516296.7015301272,529646.3533807212,120.0,2502.5949732620315,12.0,108.0
